agno, mes, dia, valor
2016,1,1,14
2016,1,2,12.7
2016,1,3,12.6
2016,1,4,15.9
2016,1,5,17.7
2016,1,6,17.6
2016,1,7,16.5
2016,1,8,16.4
2016,1,9,14
2016,1,10,12.9
2016,1,11,13.4
2016,1,12,12.6
2016,1,13,11.4
2016,1,14,13.8
2016,1,15,12
2016,1,16,13.9
2016,1,17,15.6
2016,1,18,15.3
2016,1,19,14.5
2016,1,20,16
2016,1,21,15.8
2016,1,22,15
2016,1,23,15.8
2016,1,24,13.4
2016,1,25,13.8
2016,1,26,12.5
2016,1,27,14.9
2016,1,28,17
2016,1,29,13.4
2016,1,30,13.5
2016,1,31,15.1
2016,2,1,15.4
2016,2,2,15
2016,2,3,14.4
2016,2,4,16
2016,2,5,13.6
2016,2,6,13.2
2016,2,7,13.1
2016,2,8,13.7
2016,2,9,14.6
2016,2,10,13.2
2016,2,11,12.7
2016,2,12,13.5
2016,2,13,12.3
2016,2,14,13.2
2016,2,15,13
2016,2,16,12.4
2016,2,17,12
2016,2,18,12.1
2016,2,19,13.6
2016,2,20,13.6
2016,2,21,14
2016,2,22,14.2
2016,2,23,15
2016,2,24,15.2
2016,2,25,15
2016,2,26,10.5
2016,2,27,11.9
2016,2,28,12
2016,2,29,12.4
2016,3,1,12
2016,3,2,12.2
2016,3,3,12.7
2016,3,4,12.6
2016,3,5,12.2
2016,3,6,12.7
2016,3,7,12.4
2016,3,8,10.7
2016,3,9,11.8
2016,3,10,12.5
2016,3,11,12
2016,3,12,12.9
2016,3,13,12.4
2016,3,14,13.6
2016,3,15,14.3
2016,3,16,13
2016,3,17,13.6
2016,3,18,10
2016,3,19,10.3
2016,3,20,10.2
2016,3,21,10
2016,3,22,11.6
2016,3,23,10.8
2016,3,24,11.5
2016,3,25,10.9
2016,3,26,11.4
2016,3,27,10.6
2016,3,28,11.3
2016,3,29,10.6
2016,3,30,10.9
2016,3,31,13.5
2016,4,1,14.5
2016,4,2,13.6
2016,4,3,10.9
2016,4,4,11.1
2016,4,5,11.6
2016,4,6,9.6
2016,4,7,10.5
2016,4,8,8.6
2016,4,9,6.6
2016,4,10,6.6
2016,4,11,8.4
2016,4,12,12.2
2016,4,13,8.2
2016,4,14,12.7
2016,4,15,12.6
2016,4,16,14.4
2016,4,17,12.8
2016,4,18,10.5
2016,4,19,8
2016,4,20,8.1
2016,4,21,8.6
2016,4,22,11.4
2016,4,23,11.4
2016,4,24,8.6
2016,4,25,2.6
2016,4,26,3.1
2016,4,27,6
2016,4,28,10.3
2016,4,29,10.8
2016,4,30,7.7
2016,5,1,12.5
2016,5,2,13
2016,5,3,11.4
2016,5,4,11.6
2016,5,5,12.5
2016,5,6,8.4
2016,5,7,9
2016,5,8,11.4
2016,5,9,8.8
2016,5,10,10.3
2016,5,11,11.7
2016,5,12,5
2016,5,13,10.4
2016,5,14,10.4
2016,5,15,7.6
2016,5,16,9.3
2016,5,17,10.7
2016,5,18,8.9
2016,5,19,9.4
2016,5,20,9.8
2016,5,21,10.8
2016,5,22,3.5
2016,5,23,9
2016,5,24,6.1
2016,5,25,4.8
2016,5,26,4.7
2016,5,27,8.1
2016,5,28,6.3
2016,5,29,10
2016,5,30,8.7
2016,5,31,7.2
2016,6,1,6.6
2016,6,2,6.9
2016,6,3,8.3
2016,6,4,7.5
2016,6,5,3.8
