agno, mes, dia, valor
2014,1,1,20.1
2014,1,2,20.6
2014,1,3,22.5
2014,1,4,23.1
2014,1,5,22.6
2014,1,6,24
2014,1,7,25
2014,1,8,21.4
2014,1,9,21.2
2014,1,10,22.4
2014,1,11,23.8
2014,1,12,22.6
2014,1,13,20.5
2014,1,14,23
2014,1,15,24.1
2014,1,16,22.7
2014,1,17,22.6
2014,1,18,22.9
2014,1,19,22.7
2014,1,20,20.6
2014,1,21,20.6
2014,1,22,20.9
2014,1,23,20.6
2014,1,24,20.5
2014,1,25,20.8
2014,1,26,20
2014,1,27,18
2014,1,28,20.6
2014,1,29,23
2014,1,30,22.6
2014,1,31,22.5
2014,2,1,21.1
2014,2,2,19.3
2014,2,3,20.3
2014,2,4,19.7
2014,2,5,19.2
2014,2,6,20.1
2014,2,7,19.9
2014,2,8,20.3
2014,2,9,21.7
2014,2,10,20.6
2014,2,11,20.5
2014,2,12,22.8
2014,2,13,20.5
2014,2,14,18.7
2014,2,15,17.2
2014,2,16,20.5
2014,2,17,20.6
2014,2,18,19.3
2014,2,19,20.6
2014,2,20,21
2014,2,21,21
2014,2,22,21
2014,2,23,18.1
2014,2,24,14.4
2014,2,25,19
2014,2,26,21
2014,2,27,20
2014,2,28,18.1
2014,3,1,16.3
2014,3,2,17.5
2014,3,3,17.8
2014,3,4,18.7
2014,3,5,19.7
2014,3,6,21
2014,3,7,20.8
2014,3,8,20.8
2014,3,9,19.6
2014,3,10,20.5
2014,3,11,18.3
2014,3,12,19.3
2014,3,13,17.4
2014,3,14,16.6
2014,3,15,17.8
2014,3,16,18.3
2014,3,17,18.8
2014,3,18,17.9
2014,3,19,17.7
2014,3,20,19.8
2014,3,21,20.4
2014,3,22,20.3
2014,3,23,18
2014,3,24,17.7
2014,3,25,17.6
2014,3,26,15
2014,3,27,14.6
2014,3,28,15.2
2014,3,29,13.9
2014,3,30,15.2
2014,3,31,13.9
2014,4,1,15.9
2014,4,2,14.7
2014,4,3,14.3
2014,4,4,14.4
2014,4,5,13.7
2014,4,6,11.5
2014,4,7,12.3
2014,4,8,13
2014,4,9,14.2
2014,4,10,15
2014,4,11,12.7
2014,4,12,13
2014,4,13,15.6
2014,4,14,16.4
2014,4,15,16.5
2014,4,16,15.9
2014,4,17,13.6
2014,4,18,11.9
2014,4,19,12.8
2014,4,20,15.5
2014,4,21,14
2014,4,22,15.6
2014,4,23,13.7
2014,4,24,13
2014,4,25,11.6
2014,4,26,11.4
2014,4,27,11.9
2014,4,28,12.7
2014,4,29,13.4
2014,4,30,10.8
2014,5,1,12.6
2014,5,2,12.5
2014,5,3,16.1
2014,5,4,14.5
2014,5,5,15.6
2014,5,6,16.1
2014,5,7,14.6
2014,5,8,15.5
2014,5,9,12.3
2014,5,10,12.8
2014,5,11,13.2
2014,5,12,10.6
2014,5,13,12.4
2014,5,14,15.4
2014,5,15,14.4
2014,5,16,13.5
2014,5,17,12.8
2014,5,18,14.3
2014,5,19,9.5
2014,5,20,10.6
2014,5,21,9.1
2014,5,22,8.1
2014,5,23,8.2
2014,5,24,7.5
2014,5,25,8.1
2014,5,26,8.4
2014,5,27,11.3
2014,5,28,10.3
2014,5,29,11.6
2014,5,30,10.7
2014,5,31,9.1
2014,6,1,9
2014,6,2,8
2014,6,3,8.1
2014,6,4,7.5
2014,6,5,7.6
2014,6,6,7.1
2014,6,7,5.5
2014,6,8,6.2
2014,6,9,7.9
2014,6,10,8.7
2014,6,11,8.8
2014,6,12,5.5
2014,6,13,5.2
2014,6,14,7.9
2014,6,15,9.2
2014,6,16,10.3
2014,6,17,11.1
2014,6,18,11.8
2014,6,19,7.5
2014,6,20,8.4
2014,6,21,8.1
2014,6,22,6.7
2014,6,23,9.5
2014,6,24,8.6
2014,6,25,7.3
2014,6,26,8.3
2014,6,27,5.9
2014,6,28,5.9
2014,6,29,7.2
2014,6,30,4.3
2014,7,1,6.7
2014,7,2,8
2014,7,3,7.7
2014,7,4,8.2
2014,7,5,7.9
